实体名,谷歌,百度,有道
"    ""SH-11 Gorgon ABM [ABM-3 / 51T6, Nuclear] "",","SH-11 Gorgon ABM [ABM-3 / 51T6, 核] ,","    ""SH-11 Gorgon ABM ABM-3/51T6，核武器"",","SH-11戈尔工反弹道导弹[ABM-3?/?51T6，核导弹],   "
"    ""SH-19A (HH-19A) Chickasaw - 1951"",","SH-19A (HH-19A) 奇克索 - 1951,","    ""SH-19A（HH-19A）Chickasaw-1951"",","SH-19A?(HH-19A)奇卡索1951,   "
"    ""SH-19B (HH-19B) Chickasaw - 1951"",","SH-19B (HH-19B) 奇克索 - 1951,","    ""SH-19B（HH-19B）Chickasaw-1951"",","SH-19B?(HH-19B)奇卡索-?1951,   "
"    ""SH-2D Seasprite LAMPS I - 1971"",","SH-2D Seasprite LAMPS I - 1971,","    ""SH-2D海精灵灯I-1971"",","SH-2D海精灵灯I?-?1971,   "
"    ""SH-2F Seasprite - 1978"",","SH-2F Seasprite - 1978,","    ""SH-2F海精灵-1978"",","SH-2F海怪-?1978,   "
"    ""SH-2F Seasprite - 1982"",","SH-2F Seasprite - 1982,","    ""SH-2F海精灵-1982"",","SH-2F海怪-?1982,   "
"    ""SH-2F Seasprite - 1984"",","SH-2F Seasprite - 1984,","    ""SH-2F海精灵-1984"",","SH-2F海怪-?1984,   "
"    ""SH-2F Seasprite - 1987"",","SH-2F Seasprite - 1987,","    ""SH-2F海精灵-1987"",","SH-2F海怪-?1987,   "
"    ""SH-2F Seasprite - 1991, Gulf War Mod"",","SH-2F Seasprite - 1991，海湾战争模型,","    ""SH-2F海精灵-1991，海湾战争国防部"",","SH-2F海怪-?1991，海湾战争Mod,   "
"    ""SH-2F Seasprite - 1996, 12x"",","SH-2F Seasprite - 1996, 12x,","    ""SH-2F海精灵-1996，12x"",","SH-2F海精灵-?1996,12x,   "
"    ""SH-2F Seasprite - 1999, 6x"",","SH-2F Seasprite - 1999, 6x,","    ""SH-2F海精灵-1999，6x"",","SH-2F海精灵-?1999,6x,   "
"    ""SH-2F Seasprite LAMPS I - 1975"",","SH-2F Seasprite LAMPS I - 1975,","    ""SH-2F海精灵灯I-1975"",","SH-2F海怪灯I?-?1975,   "
"    ""SH-2G Seasprite - 1994, 24x, Reserve"",","SH-2G Seasprite - 1994, 24x, Reserve,","    ""SH-2G海精灵-1994，24x，保护区"",","SH-2G海精灵-?1994,24x，后备,   "
"    ""SH-2G Seasprite - 2000, 4x"",","SH-2G Seasprite - 2000, 4x,","    ""SH-2G海精灵-2000，4x"",","SH-2G海精灵-?2000,4x,   "
"    ""SH-2G Seasprite - 2008, 4x"",","SH-2G Seasprite - 2008, 4x,","    ""SH-2G海精灵-2008，4x"",","SH-2G海精灵-?2008,4x,   "
"    ""SH-2G Seasprite - 2017, 5x, Ex-New Zealand"",","SH-2G Seasprite - 2017, 5x, Ex-New Zealand,","    ""SH-2G海精灵-2017年，5倍，新西兰境外"",","SH-2G海精灵-?2017,5x，前新西兰,   "
"    ""SH-2G(A) Seasprite - 2007, Cancelled"",","SH-2G(A) Seasprite - 2007, 取消,","    ""SH-2G（A）海精灵-2007，取消"",","SH-2G(A)海精灵-?2007，已取消,   "
"    ""SH-2G(E) Seasprite - 1998, 12x"",","SH-2G(E) Seasprite - 1998, 12x,","    ""SH-2G（E）海精灵-1998，12x"",","SH-2G(E)海精灵-?1998,12x?,   "
"    ""SH-2G(I) Seasprite - 2015, 8x, Ex-Australian, Replaced SH-2G(NZ)"",","SH-2G(I) Seasprite - 2015, 8x, Ex-Australian, Replaced SH-2G(NZ),","    ""SH-2G（I）海精灵-2015，8x，前澳大利亚，取代SH-2G（新西兰）"",","SH-2G(I)海精灵-?2015,8x，前澳大利亚人，取代SH-2G(新西兰),   "
"    ""SH-2G(NZ) Seasprite - 2004, 5x"",","SH-2G(NZ) Seasprite - 2004, 5x,","    ""SH-2G（新西兰）海精灵-2004，5倍"",","SH-2G(新西兰)海精灵-?2004,5倍,   "
"    ""SH-34G (HSS-1) Seabat - 1954"",","SH-34G (HSS-1) Seabat - 1954,","    ""SH-34G（HSS-1）Seabat-1954"",","SH-34G?(HSS-1)?Seabat?-?1954,   "
"    ""SH-34G (HSS-1) Seabat - 1960"",","SH-34G (HSS-1) Seabat - 1960,","    ""SH-34G（HSS-1）海巴特-1960"",","SH-34G?(HSS-1)?Seabat?-?1960,   "
"    ""SH-34G (HSS-1) Seabat - 1963"",","SH-34G (HSS-1) Seabat - 1963,","    ""SH-34G（HSS-1）海巴特-1963"",","SH-34G?(HSS-1)?Seabat?-?1963,   "
"    ""SH-34G (HSS-1) Seabat - 1967"",","SH-34G (HSS-1) Seabat - 1967,","    ""SH-34G（HSS-1）Seabat-1967"",","SH-34G?(HSS-1)?Seabat?-?1967,   "
"    ""SH-34H (HSS-1F) Seabat - 1957"",","SH-34H (HSS-1F) Seabat - 1957,","    ""SH-34H（HSS-1F）Seabat-1957"",","SH-34H?(HSS-1F)?Seabat?-?1957,   "
"    ""SH-34H (HSS-1F) Seabat - 1959"",","SH-34H (HSS-1F) Seabat - 1959,","    ""SH-34H（HSS-1F）Seabat-1959"",","SH-34H?(HSS-1F)?Seabat?-?1959,   "
"    ""SH-34J (HSS-1N) Seabat - 1958"",","SH-34J (HSS-1N) Seabat - 1958,","    ""SH-34J（HSS-1N）Seabat-1958"",","SH-34J?(HSS-1N)?Seabat?-?1958,   "
"    ""SH-34J (HSS-1N) Seabat - 1959"",","SH-34J (HSS-1N) Seabat - 1959,","    ""SH-34J（HSS-1N）Seabat-1959"",","SH-34J?(HSS-1N)?Seabat?-?1959,   "
"    ""SH-34J (HSS-1N) Seabat - 1960"",","SH-34J (HSS-1N) Seabat - 1960,","    ""SH-34J（HSS-1N）海巴特-1960"",","SH-34J?(HSS-1N)?Seabat?-?1960,   "
"    ""SH-34J (HSS-1N) Seabat - 1961"",","SH-34J (HSS-1N) Seabat - 1961,","    ""SH-34J（HSS-1N）Seabat-1961"",","SH-34J?(HSS-1N)?Seabat?-?1961,   "
"    ""SH-34J (HSS-1N) Seabat - 1962"",","SH-34J (HSS-1N) Seabat - 1962,","    ""SH-34J（HSS-1N）Seabat-1962"",","SH-34J?(HSS-1N)?Seabat?-?1962,   "
"    ""SH-34J (HSS-1N) Seabat - 1967"",","SH-34J (HSS-1N) Seabat - 1967,","    ""SH-34J（HSS-1N）Seabat-1967"",","SH-34J?(HSS-1N)?Seabat?-?1967,   "
"    ""SH-34J (HSS-1N) Seabat - 1968"",","SH-34J (HSS-1N) Seabat - 1968,","    ""SH-34J（HSS-1N）Seabat-1968"",","SH-34J?(HSS-1N)?Seabat?-?1968,   "
"    ""SH-3A Sea King - 1961"",","SH-3A 海王 - 1961,","    ""SH-3A海王-1961"",","SH-3A海王-?1961,   "
"    ""SH-3A Sea King - 1967"",","SH-3A 海王 - 1967,","    ""SH-3A海王-1967"",","SH-3A海王-?1967,   "
"    ""SH-3D Sea King - 1966"",","SH-3D 海王 - 1966,","    ""SH-3D海王-1966"",","SH-3D海王-?1966,   "
"    ""SH-3D Sea King - 1967"",","SH-3D 海王 - 1967,","    ""SH-3D海王-1967"",","SH-3D海王-?1967,   "
"    ""SH-3D Sea King - 1971, 4x + 2x"",","SH-3D 海王 - 1971，4x + 2x,","    ""SH-3D海王-1971，4x+2x"",","SH-3D海王-?1971,4x?+?2x,   "
"    ""SH-3D Sea King - 1972"",","SH-3D 海王 - 1972,","    ""SH-3D海王-1972"",","SH-3D海王-?1972,   "
"    ""SH-3D Sea King - 1973, 4x + 2x"",","SH-3D 海王 - 1973，4x + 2x,","    ""SH-3D海王-1973，4x+2x"",","SH-3D海王-?1973,4x?+?2x,   "
"    ""SH-3D Sea King - 1982"",","SH-3D 海王 - 1982,","    ""SH-3D海王-1982"",","SH-3D海王-?1982,   "
"    ""SH-3D Sea King - 1984"",","SH-3D 海王 - 1984,","    ""SH-3D海王-1984"",","SH-3D海王1984,   "
"    ""SH-3D Sea King - 1987"",","SH-3D 海王 - 1987,","    ""SH-3D海王-1987"",","SH-3D海王-?1987,   "
"    ""SH-3D Sea King [ASH-3D] - 1968"",","SH-3D 海王 [ASH-3D] - 1968,","    ""SH-3D海王ASH-3D-1968"",","SH-3D海王,   "
"    ""SH-3D Sea King [ASH-3D] - 1979"",","SH-3D 海王 [ASH-3D] - 1979,","    ""SH-3D海王ASH-3D-1979"",","SH-3D海王,   "
"    ""SH-3D Sea King [ASH-3D] - 1984"",","SH-3D 海王 [ASH-3D] - 1984,","    ""SH-3D海王ASH-3D-1984"",","SH-3D海王,   "
"    ""SH-3D Sea King [ASH-3D] - 1985, 2x, Sank with polar transport ARA Bahia Parai"",","SH-3D 海王 [ASH-3D] - 1985, 2x, 用极地运输 ARA Bahia Parai 沉没,","    ""SH-3D海王ASH-3D-1985，2次，与极地运输船ARA Bahia Parai一起沉没"",","SH-3D海王[ASH-3D]?-?1985,?2人，随极地运输船ARA?Bahia?Parai沉没,   "
"    ""SH-3D Sea King [ASH-3D] - 1988"",","SH-3D 海王 [ASH-3D] - 1988,","    ""SH-3D海王ASH-3D-1988"",","SH-3D海王,   "
"    ""SH-3D Sea King [HS.9] - 1991"",","SH-3D 海王 [HS.9] - 1991,","    ""SH-3D海王HS。9 - 1991"",","SH-3D海王 9?-?1991,   "
"    ""SH-3D Sea King [Z.9A] - 1975"",","SH-3D 海王 [Z.9A] - 1975,","    ""SH-3D海王Z.9A-1975"",","SH-3D海王[Z.9?-?1975,   "
"    ""SH-3G Sea King - 1980, -Utility/Transport variant, ASW gear removed"",","SH-3G 海王 - 1980，-实用/运输变体，ASW 装备已移除,","    ""SH-3G海王-1980，-公用事业/运输变型，ASW齿轮已拆下"",","SH-3G海王-?1980，-公用/运输改型，ASW装置拆除,   "
"    ""SH-3H Sea King - 1975"",","SH-3H 海王 - 1975,","    ""SH-3H海王-1975"",","SH-3H海王-?1975,   "
"    ""SH-3H Sea King - 1982"",","SH-3H 海王 - 1982,","    ""SH-3H海王-1982"",","SH-3H海王-?1982,   "
"    ""SH-3H Sea King - 1984"",","SH-3H 海王 - 1984,","    ""SH-3H海王-1984"",","SH-3H海王-?1984,   "
"    ""SH-3H Sea King - 1987"",","SH-3H 海王 - 1987,","    ""SH-3H海王-1987"",","SH-3H海王-?1987,   "
"    ""SH-3H Sea King - 1991"",","SH-3H 海王 - 1991,","    ""SH-3H海王-1991"",","SH-3H海王-?1991,   "
"    ""SH-3H Sea King [ASH-3H] - 1975"",","SH-3H 海王 [ASH-3H] - 1975,","    ""SH-3H海王ASH-3H-1975"",","SH-3H海王,   "
"    ""SH-3H Sea King [ASH-3H] - 1984"",","SH-3H 海王 [ASH-3H] - 1984,","    ""SH-3H海王ASH-3H-1984"",","SH-3H海王(ASH-3H),   "
"    ""SH-3H Sea King [HS.9] - 1981, 8x"",","SH-3H 海王 [HS.9] - 1981, 8x,","    ""SH-3H海王HS。9-1981，8x"",","SH-3H海王.9]?-?1981,8x?,   "
"    ""SH-3H Sea King [HS.9] - 1984, 8x"",","SH-3H 海王 [HS.9] - 1984, 8x,","    ""SH-3H海王HS。9-1984，8x"",","SH-3H海王.9]?-?1984,8x?,   "
"    ""SH-3H Sea King [HS.9] - 1996"",","SH-3H 海王 [HS.9] - 1996,","    ""SH-3H海王HS。9 - 1996"",","SH-3H海王.9?-?1996,   "
"    ""SH-3H Sea King [SH-3A] - 1986, 9x, Agusta ASH-3H"",","SH-3H 海王 [SH-3A] - 1986, 9x, Agusta ASH-3H,","    ""SH-3H海王SH-3A-1986，9x，阿古斯塔灰-3H"",","SH-3H海王[SH-3A]?-?1986,?9x，阿古斯塔ASH-3H,   "
"    ""SH-3H Sea King [SH-3B] - 1996, SH-3B Local Designation"",","SH-3H 海王 [SH-3B] - 1996, SH-3B 本地指定,","    ""SH-3H海王SH-3B-1996，SH-3B本地名称"",","SH-3H海王[SH-3B]?-?1996,?SH-3B地方指定,   "
"    ""SH-3H(AEW) Sea King [HS.9] - 1985"",","SH-3H(AEW) 海王 [HS.9] - 1985,","    ""SH-3H（AEW）海王HS。9 - 1985"",","SH-3H(AEW)海王[HS.9?-?1985,   "
"    ""SH-3W Sea King AEW [HS.9] - 1989, 3x"",","SH-3W 海王 AEW [HS.9] - 1989, 3x,","    ""SH-3W海王AEW HS。9-1989，3倍"",","SH-3W海王AEW?[HS.9]?-?1989年，3,   "
"    ""SH-5 Harbin - 1986, PLAN, 4x"",","SH-5 哈尔滨 - 1986, 计划, 4x,","    ""SH-5哈尔滨-1986，平面图，4x"",","SH-5哈尔滨-?1986,PLAN,?4x,   "
"    ""SH-60B Seahawk - 1987"",","SH-60B 海鹰 - 1987,","    ""SH-60B海鹰-1987"",","SH-60B海鹰-?1987,   "
"    ""SH-60B Seahawk - 1991"",","SH-60B 海鹰 - 1991,","    ""SH-60B海鹰-1991"",","SH-60B海鹰-?1991,   "
"    ""SH-60B Seahawk - 1994"",","SH-60B 海鹰 - 1994,","    ""SH-60B海鹰-1994"",","SH-60B海鹰-?1994,   "
"    ""SH-60B Seahawk - 1997"",","SH-60B 海鹰 - 1997,","    ""SH-60B海鹰-1997"",","SH-60B海鹰-?1997,   "
"    ""SH-60B Seahawk - 1999"",","SH-60B 海鹰 - 1999,","    ""SH-60B海鹰-1999"",","SH-60B海鹰-?1999,   "
"    ""SH-60B Seahawk - 2002"",","SH-60B 海鹰 - 2002,","    ""SH-60B海鹰-2002"",","SH-60B海鹰-?2002,   "
"    ""SH-60B Seahawk - 2005"",","SH-60B 海鹰 - 2005,","    ""SH-60B海鹰-2005"",","SH-60B海鹰-?2005,   "
"    ""SH-60B Seahawk - 2010"",","SH-60B 海鹰 - 2010,","    ""SH-60B海鹰-2010"",","SH-60B海鹰-?2010,   "
"    ""SH-60F Oceanhawk - 1991"",","SH-60F 海鹰 - 1991,","    ""SH-60F海鹰-1991"",","SH-60F?Oceanhawk?-?1991,   "
"    ""SH-60F Oceanhawk - 1997"",","SH-60F 海鹰 - 1997,","    ""SH-60F海鹰-1997"",","SH-60F?Oceanhawk?-?1997,   "
"    ""SH-60F Oceanhawk - 2005"",","SH-60F 海鹰 - 2005,","    ""SH-60F海鹰-2005"",","SH-60F?Oceanhawk?-?2005,   "
"    ""SH-60F Oceanhawk - 2021, 8x"",","SH-60F 海鹰 - 2021, 8x,","    ""SH 60F大洋鹰- 2021，8X"",","SH-60F?Oceanhawk?-?2021,?8x,   "
"    ""SH-60J Seahawk - 1991"",","SH-60J 海鹰 - 1991,","    ""SH-60J海鹰-1991"",","SH-60J海鹰-?1991,   "
"    ""SH-60K Seahawk - 2006, Kai"",","SH-60K 海鹰 - 2006, 凯,","    ""SH-60K海鹰-2006，Kai"",","SH-60K海鹰-?2006，凯,   "
"    ""SHL-100 Flaming-A"",","SHL-100 火焰-A,","    ""SHL-100火焰-A"",","shl?-?100?Flaming-A,   "
"    ""SHL-200"",","SHL-200,","    ""SHL-200"",","shl?-?200,   "
"    ""SHU-16B Albatross - 1954"",","SHU-16B 信天翁 - 1954,","    ""舒-16B信天翁-1954"",","SHU-16B信天翁-?1954,   "
"    ""SHU-16B Albatross - 1958"",","SHU-16B 信天翁 - 1958,","    ""舒-16B信天翁-1958"",","SHU-16B信天翁-?1958,   "
"    ""SHU-16B Albatross - 1959"",","SHU-16B 信天翁 - 1959,","    ""舒-16B信天翁-1959"",","SHU-16B信天翁-?1959,   "
"    ""SHU-16B Albatross - 1961"",","SHU-16B 信天翁 - 1961,","    ""舒-16B信天翁-1961"",","SHU-16B信天翁-?1961,   "
"    ""SHU-16B Albatross - 1962"",","SHU-16B 信天翁 - 1962,","    ""舒-16B信天翁-1962"",","SHU-16B信天翁-?1962,   "
"    ""SHU-16B Albatross - 1963"",","SHU-16B 信天翁 - 1963,","    ""舒-16B信天翁-1963"",","SHU-16B信天翁-?1963,   "
"    ""SHU-16B Albatross - 1969"",","SHU-16B 信天翁 - 1969,","    ""舒-16B信天翁-1969"",","SHU-16B信天翁-?1969,   "
"    ""SHU-16B Albatross - 1974"",","SHU-16B 信天翁 - 1974,","    ""舒-16B信天翁-1974"",","SHU-16B信天翁-?1974,   "
"    ""SIASS Acoustic Intercept"",","SIASS 声学拦截,","    ""声截获"",","补充免疫活动声拦截,   "
"    ""SIASS Bow Array"",","SIASS弓阵,","    ""SIASS弓阵"",","补充免疫活动弓数组,   "
"    ""SIASS Flank Array"",","SIASS 侧翼阵列,","    ""SIASS侧翼阵列"",","补充免疫活动侧面阵,   "
"    ""SIMONE"",","西蒙尼,","    ""西蒙尼"",","西蒙妮,   "
"    ""SIR-M (Alenia)"",","SIR-M (阿莱尼亚),","    ""M先生（阿莱尼亚）"",","SIR-M(阿莱尼亚),   "
"    ""SIRIUS"",","天狼星,","    ""天狼星"",","天狼星,   "
"    ""SK 37 Viggen - 1974"",","SK 37 Viggen - 1974,","    ""SK 37维根-1974"",","SK?37?Viggen?-?1974,   "
"    ""SK 37 Viggen - 1997"",","SK 37 Viggen - 1997,","    ""SK 37维根-1997"",","SK?37?Viggen?-?1997,   "
"    ""SK 37E Viggen - 2000, EW Trainer"",","SK 37E Viggen - 2000，电子战教练机,","    ""SK 37E Viggen-2000，电子战教练机"",","sk37e?Viggen?-?2000,?EW?Trainer,   "
"    ""SK 60A - 1967, 92x, Saab 105"",","SK 60A - 1967，92x，萨博 105,","    ""SK 60A-1967，92x，萨博105"",","sk60a?-?1967,?92x,?Saab?105,   "
"    ""SK 60A - 1999"",","SK 60A - 1999,","    ""SK 60A-1999"",","?sk?60a?-?1999,   "
"    ""SK 60B - 1972, 46x, Saab 105"",","SK 60B - 1972，46x，萨博 105,","    ""SK 60B-1972，46x，萨博105"",","sk60b?-?1972,?46x，萨博105,   "
"    ""SK 60B - 1999"",","SK 60B - 1999,","    ""SK 60B-1999"",","?sk?60b?-?1999,   "
"    ""SK 60C - 1972, 28x, Saab 105"",","SK 60C - 1972，28x，萨博 105,","    ""SK 60C-1972，28x，萨博105"",","sk60c?-?1972,?28x，萨博105,   "
"    ""SK 60C - 1999"",","SK 60C - 1999,","    ""SK 60C-1999"",","?sk?60c?-?1999,   "
"    ""SKA 24D Camera Pod [600mm EO, Long-Range] "",","SKA 24D Camera Pod [600mm EO, 长距离],","    ""SKA 24D摄像机吊舱600mm EO，远程"",","斯卡24D相机吊舱[600mm?EO，长程],   "
"    ""SKR Admiral Flota Kasatonov [Pr.2235.0] - 2019"",","SKR 海军上将 Flota Kasatonov [Pr.2235.0] - 2019,","    ""SKR海军上将弗洛塔·卡萨托诺夫，第2235页。0 - 2019"",","SKR上将Flota?Kasatonov?[Pr.2235.0]?-?2019,   "
"    ""SKR Admiral Grigorovich [Pr.1135.6M] - 2015"",","SKR Admiral Grigorovich [Pr.1135.6M] - 2015,","    ""SKR格里戈罗维奇上将，第1135页。2006-2015年"",","SKR?Admiral?Grigorovich?[Pr.1135.6M]?-?2015,   "
"    ""SKR Admiral Grigorovich [Pr.1135.6M] - 2018"",","SKR Admiral Grigorovich [Pr.1135.6M] - 2018,","    ""SKR格里戈罗维奇上将，第1135页。6M-2018"",","SKR?Admiral?Grigorovich?[Pr.1135.6M]?-?2018,   "
"    ""SKR Admiral Sergey Gorshkov [Pr.2235.0] - 2017"",","SKR Admiral Sergey Gorshkov [Pr.2235.0] - 2017,","    ""瑞典皇家海军上将谢尔盖·戈尔什科夫，邮编2235。0 - 2017"",","SKR上将Sergey?Gorshkov?[Pr.2235.0]?-?2017,   "
"    ""SKR Admiral Sergey Gorshkov [Pr.2235.0] - 2019"",","SKR Admiral Sergey Gorshkov [Pr.2235.0] - 2019,","    ""瑞典皇家海军上将谢尔盖·戈尔什科夫，邮编2235。0 - 2019"",","SKR上将谢尔盖·戈尔什科夫[Pr.2235.0]?-?2019,   "
"    ""SKR Gepard Mod [Pr.1166.1K] - 2013, 1x, VLS SSM"",","SKR Gepard Mod [Pr.1166.1K] - 2013，1x，VLS SSM,","    ""SKR Gepard第1166号国防部。1K-2013，1x，VLS SSM"",","SKR?Gepard?Mod?[Pr.1166.1K]?-?2013,?1x,?VLS?SSM,   "
"    ""SKR Gepard [Pr.1166.1] - 2004, 1x"",","SKR Gepard [Pr.1166.1] - 2004, 1x,","    ""SKR Gepard Pr.1166。1-2004，1x"",","SKR?Gepard?[Pr.1166.1]?-?2004,?1x,   "
"    ""SKR Gordy - 1949"",","SKR Gordy - 1949,","    ""SKR戈尔迪-1949"",","SKR?Gordy?-?1949,   "
"    ""SKR Koni [Pr.1159] - 1951"",","SKR Koni [Pr.1159] - 1951,","    ""SKR科尼公共关系1159-1951"",","SKR?Koni[公关.1159?-?1951,   "
"    ""SKR Koni [Pr.1159] - 1976"",","SKR Koni [Pr.1159] - 1976,","    ""SKR科尼公共关系1159-1976"",","SKR?Koni[公关.1159?-?1976,   "
"    ""SKR Kotlin Mod [Pr.56PLO Spokoinyy] - 1961"",","SKR Kotlin Mod [Pr.56PLO Spokoinyy] - 1961,","    ""SKR Kotlin国防部公共关系部56PLO Spokoinyy-1961"",","SKR?Kotlin?Mod?[Pr.-?1961年,   "
"    ""SKR Kotlin Mod [Pr.56PLO Spokoinyy] - 1973"",","SKR Kotlin Mod [Pr.56PLO Spokoinyy] - 1973,","    ""SKR科特林国防部公共关系部56PLO Spokoinyy-1973"",","SKR?Kotlin?Mod?[Pr.1973年,   "
"    ""SKR Kotlin [Pr.56 Spokoinyy] - 1955"",","SKR Kotlin [Pr.56 Spokoinyy] - 1955,","    ""SKR Kotlin Pr.56 Spokoinyy-1955年"",","SKR芬兰湾的科特林(公关.——1955年,   "
"    ""SKR Kotlin [Pr.56 Spokoinyy] - 1973"",","SKR Kotlin [Pr.56 Spokoinyy] - 1973,","    ""SKR Kotlin Pr.56 Spokoinyy-1973"",","SKR芬兰湾的科特林(公关.——1973年,   "
"    ""SKR Krivak I [Pr.1135 Burevestnik] - 1970"",","SKR Krivak I [Pr.1135 Burevestnik] - 1970,","    ""SKR Krivak I Pr.1135 Burevestnik-1970"",","SKR?Krivak?I?[Pr.1135?Burevestnik]?-?1970,   "
"    ""SKR Krivak I [Pr.1135 Burevestnik] - 1973"",","SKR Krivak I [Pr.1135 Burevestnik] - 1973,","    ""SKR Krivak I Pr.1135 Burevestnik-1973"",","SKR?Krivak?I?[Pr.1135?Burevestnik]?-?1973,   "
"    ""SKR Krivak I [Pr.1135 Burevestnik] - 1981"",","SKR Krivak I [Pr.1135 Burevestnik] - 1981,","    ""SKR Krivak I Pr.1135 Burevestnik-1981"",","SKR?Krivak?I?[Pr.1135?Burevestnik]?-?1981,   "
"    ""SKR Krivak I [Pr.1135 Burevestnik] - 1985"",","SKR Krivak I [Pr.1135 Burevestnik] - 1985,","    ""SKR Krivak I Pr.1135 Burevestnik-1985"",","SKR?Krivak?I?[Pr.1135?Burevestnik]?-?1985年,   "
"    ""SKR Krivak I [Pr.1135 Burevestnik] - 1992"",","SKR Krivak I [Pr.1135 Burevestnik] - 1992,","    ""SKR Krivak I Pr.1135 Burevestnik-1992"",","SKR?Krivak?I?[Pr.1135?Burevestnik]?-?1992年,   "
"    ""SKR Krivak II [Pr.1135M Burevestnik-M] - 1976"",","SKR Krivak II [Pr.1135M Burevestnik-M] - 1976,","    ""SKR Krivak II Pr.1135M Burevestnik-M-1976"",","SKR?Krivak?II?[Pr.1135M?Burevestnik-M]?-?1976,   "
"    ""SKR Krivak II [Pr.1135M Burevestnik-M] - 1981"",","SKR Krivak II [Pr.1135M Burevestnik-M] - 1981,","    ""SKR Krivak II Pr.1135M Burevestnik-M-1981"",","SKR?Krivak?II?[Pr.1135M?Burevestnik-M]?-?1981,   "
"    ""SKR Krivak II [Pr.1135M Burevestnik-M] - 1985"",","SKR Krivak II [Pr.1135M Burevestnik-M] - 1985,","    ""SKR Krivak II Pr.1135M Burevestnik-M-1985"",","SKR?Krivak?II?[Pr.1135M?Burevestnik-M]?-?1985,   "
"    ""SKR Krivak II [Pr.1135M Burevestnik-M] - 1992"",","SKR Krivak II [Pr.1135M Burevestnik-M] - 1992,","    ""SKR Krivak II Pr.1135M Burevestnik-M-1992"",","SKR?Krivak?II?[Pr.1135M?Burevestnik-M]?-?1992,   "
"    ""SKR Krivak III [Pr.1135.1 Nerei] - 1984"",","SKR Krivak III [Pr.1135.1 Nerei] - 1984,","    ""SKR克里瓦克III Pr.1135。1内雷-1984年"",","SKR?Krivak?III?[Pr.1135.1?Nerei]?-?1984,   "
"    ""SKR Krivak III [Pr.1135.1 Nerei] - 1992"",","SKR Krivak III [Pr.1135.1 Nerei] - 1992,","    ""SKR克里瓦克III Pr.1135。1内雷-1992"",","SKR?Krivak?III?[Pr.1135.1?Nerei]?-?1992,   "
"    ""SKR Krivak IV [Pr.1135.2 Burevestnik] - 1992, Krivak Mod"",","SKR Krivak IV [Pr.1135.2 Burevestnik] - 1992，Krivak Mod,","    ""SKR Krivak IV Pr.1135。2布雷维斯特尼克-1992，克里瓦克国防部"",","SKR?Krivak?IV?[Pr.1135.2?Burevestnik]?-?1992,?Krivak?Mod,   "
"    ""SKR Kronshtadt - 1948"",","SKR 喀琅施塔得 - 1948,","    ""SKR克伦施塔特-1948"",","SKR?Kronshtadt?-?1948,   "
"    ""SKR Kronshtadt - 1957"",","SKR 喀琅施塔得 - 1957,","    ""SKR克伦施塔特-1957"",","SKR?Kronshtadt?-?1957,   "
"    ""SKR MO - 1935"",","SKR MO - 1935,","    ""SKR MO-1935"",","?skr?mo?-?1935,   "
"    ""SKR MO-V - 1957"",","SKR MO-V - 1957,","    ""SKR MO-V-1957"",","?skr?mo-v?-?1957,   "
"    ""SKR Mirka I [Pr.35] - 1964"",","SKR Mirka I [Pr.35] - 1964,","    ""SKR Mirka I Pr.35-1964"",","SKR米尔卡I?[Pr.35?-?1964,   "
"    ""SKR Mirka I [Pr.35] - 1969"",","SKR Mirka I [Pr.35] - 1969,","    ""SKR Mirka I Pr.35-1969"",","SKR米尔卡I?[Pr.35?-?1969,   "
"    ""SKR Mirka II [Pr.35M] - 1975"",","SKR Mirka II [Pr.35M] - 1975,","    ""SKR Mirka II Pr.35M-1975"",","SKR?Mirka?II?[Pr.35?m]?-?1975,   "
"    ""SKR Neustrashimy [Pr.11540 Yastreb] - 1993"",","SKR Neustrashimy [Pr.11540 Yastreb] - 1993,","    ""SKR Neustrashimy Pr.11540 Yastreb-1993"",","SKR?Neustrashimy[公关.11540?Yastreb]?-?1993,   "
"    ""SKR Neustrashimy [Pr.11540 Yastreb] - 2000"",","SKR Neustrashimy [Pr.11540 Yastreb] - 2000,","    ""SKR Neustrashimy Pr.11540 Yastreb-2000"",","SKR?Neustrashimy[公关.11540?Yastreb]?-?2000,   "
"    ""SKR Parchim II [Pr.1331] - 1986"",","SKR Parchim II [Pr.1331] - 1986,","    ""SKR Parchem II Pr.1331-1986"",","SKR?Parchim?II?[Pr.1331?-?1986,   "
"    ""SKR Parchim II [Pr.1331] - 1992"",","SKR Parchim II [Pr.1331] - 1992,","    ""SKR Parchem II Pr.1331-1992"",","SKR?Parchim?II?[Pr.1331?-?1992,   "
"    ""SKR Pchela - 1964"",","SKR Pchela - 1964,","    ""SKR Pchela-1964"",","SKR?Pchela?-?1964,   "
"    ""SKR Petya I [Pr.159] - 1962"",","SKR Petya I [Pr.159] - 1962,","    ""SKR Petya I Pr.159-1962"",","SKR?Petya?I?[Pr.159?-?1962,   "
"    ""SKR Petya I [Pr.159] - 1969"",","SKR Petya I [Pr.159] - 1969,","    ""SKR Petya I Pr.159-1969"",","SKR?Petya?I?[Pr.159?-?1969,   "
